Pincode,active,
110001,0,"110001,"
110002,0,"110002,"
110003,0,"110003,"
110004,0,"110004,"
110005,0,"110005,"
110006,0,"110006,"
110007,0,"110007,"
110008,0,"110008,"
110009,0,"110009,"
110010,0,"110010,"
110011,0,"110011,"
110012,0,"110012,"
110013,0,"110013,"
110014,0,"110014,"
110015,0,"110015,"
110016,0,"110016,"
110017,0,"110017,"
110018,0,"110018,"
110019,0,"110019,"
110020,0,"110020,"
110021,0,"110021,"
110022,0,"110022,"
110023,0,"110023,"
110024,0,"110024,"
110025,0,"110025,"
110026,0,"110026,"
110027,0,"110027,"
110028,0,"110028,"
110029,0,"110029,"
110030,0,"110030,"
110031,0,"110031,"
110032,0,"110032,"
110033,0,"110033,"
110034,0,"110034,"
110035,0,"110035,"
110036,0,"110036,"
110037,0,"110037,"
110038,0,"110038,"
110039,0,"110039,"
110040,0,"110040,"
110041,0,"110041,"
110042,0,"110042,"
110043,0,"110043,"
110044,0,"110044,"
110045,0,"110045,"
110046,0,"110046,"
110047,0,"110047,"
110048,0,"110048,"
110049,0,"110049,"
110051,0,"110051,"
110052,0,"110052,"
110053,0,"110053,"
110054,0,"110054,"
110055,0,"110055,"
110056,0,"110056,"
110057,0,"110057,"
110058,0,"110058,"
110059,0,"110059,"
110060,0,"110060,"
110061,0,"110061,"
110062,0,"110062,"
110063,0,"110063,"
110064,0,"110064,"
110065,0,"110065,"
110066,0,"110066,"
110067,0,"110067,"
110068,0,"110068,"
110069,0,"110069,"
110070,0,"110070,"
110071,0,"110071,"
110072,0,"110072,"
110073,0,"110073,"
110074,0,"110074,"
110075,0,"110075,"
110076,0,"110076,"
110077,0,"110077,"
110078,0,"110078,"
110080,0,"110080,"
110081,0,"110081,"
110082,0,"110082,"
110083,0,"110083,"
110084,0,"110084,"
110085,0,"110085,"
110086,0,"110086,"
110087,0,"110087,"
110088,0,"110088,"
110089,0,"110089,"
110090,0,"110090,"
110091,0,"110091,"
110092,0,"110092,"
110093,0,"110093,"
110094,0,"110094,"
110095,0,"110095,"
110096,0,"110096,"
110097,0,"110097,"
110099,0,"110099,"
121001,0,"121001,"
121002,0,"121002,"
121003,0,"121003,"
121004,0,"121004,"
121005,0,"121005,"
121006,0,"121006,"
121007,0,"121007,"
121008,0,"121008,"
121009,0,"121009,"
121010,0,"121010,"
121012,0,"121012,"
121013,0,"121013,"
121014,0,"121014,"
121015,0,"121015,"
121101,0,"121101,"
121102,0,"121102,"
121103,0,"121103,"
121105,0,"121105,"
121106,0,"121106,"
121107,0,"121107,"
122001,0,"122001,"
122002,0,"122002,"
122003,0,"122003,"
122004,0,"122004,"
122005,0,"122005,"
122006,0,"122006,"
122007,0,"122007,"
122008,0,"122008,"
122009,0,"122009,"
122010,0,"122010,"
122011,0,"122011,"
122012,0,"122012,"
122015,0,"122015,"
122016,0,"122016,"
122017,0,"122017,"
122018,0,"122018,"
122051,0,"122051,"
122052,0,"122052,"
122098,0,"122098,"
122101,0,"122101,"
122102,0,"122102,"
122103,0,"122103,"
122104,0,"122104,"
122105,0,"122105,"
122107,0,"122107,"
122108,0,"122108,"
122413,0,"122413,"
122414,0,"122414,"
122502,0,"122502,"
122503,0,"122503,"
122504,0,"122504,"
122505,0,"122505,"
122506,0,"122506,"
122508,0,"122508,"
123001,0,"123001,"
123021,0,"123021,"
123023,0,"123023,"
123024,0,"123024,"
123027,0,"123027,"
123028,0,"123028,"
123029,0,"123029,"
123031,0,"123031,"
123034,0,"123034,"
123035,0,"123035,"
123101,0,"123101,"
123102,0,"123102,"
123103,0,"123103,"
123106,0,"123106,"
123110,0,"123110,"
123301,0,"123301,"
123302,0,"123302,"
123303,0,"123303,"
123401,0,"123401,"
123411,0,"123411,"
123412,0,"123412,"
123501,0,"123501,"
124001,0,"124001,"
124010,0,"124010,"
124021,0,"124021,"
124022,0,"124022,"
124102,0,"124102,"
124103,0,"124103,"
124104,0,"124104,"
124105,0,"124105,"
124106,0,"124106,"
124107,0,"124107,"
124108,0,"124108,"
124109,0,"124109,"
124111,0,"124111,"
124112,0,"124112,"
124113,0,"124113,"
124141,0,"124141,"
124142,0,"124142,"
124146,0,"124146,"
124201,0,"124201,"
124202,0,"124202,"
124303,0,"124303,"
124401,0,"124401,"
124404,0,"124404,"
124406,0,"124406,"
124411,0,"124411,"
124412,0,"124412,"
124501,0,"124501,"
124504,0,"124504,"
124505,0,"124505,"
124506,0,"124506,"
124507,0,"124507,"
124508,0,"124508,"
124513,0,"124513,"
124514,0,"124514,"
125001,0,"125001,"
125004,0,"125004,"
125005,0,"125005,"
125006,0,"125006,"
125007,0,"125007,"
125011,0,"125011,"
125033,0,"125033,"
125037,0,"125037,"
125038,0,"125038,"
125039,0,"125039,"
125042,0,"125042,"
125044,0,"125044,"
125047,0,"125047,"
125048,0,"125048,"
125049,0,"125049,"
125050,0,"125050,"
125051,0,"125051,"
125052,0,"125052,"
125053,0,"125053,"
125054,0,"125054,"
125055,0,"125055,"
125056,0,"125056,"
125058,0,"125058,"
125060,0,"125060,"
125075,0,"125075,"
125076,0,"125076,"
125077,0,"125077,"
125078,0,"125078,"
125101,0,"125101,"
125102,0,"125102,"
125103,0,"125103,"
125104,0,"125104,"
125106,0,"125106,"
125110,0,"125110,"
125111,0,"125111,"
125112,0,"125112,"
125113,0,"125113,"
125120,0,"125120,"
125121,0,"125121,"
125133,0,"125133,"
125201,0,"125201,"
126101,0,"126101,"
126102,0,"126102,"
126110,0,"126110,"
126111,0,"126111,"
126112,0,"126112,"
126113,0,"126113,"
126114,0,"126114,"
126115,0,"126115,"
126116,0,"126116,"
126125,0,"126125,"
126152,0,"126152,"
127021,0,"127021,"
127022,0,"127022,"
127025,0,"127025,"
127026,0,"127026,"
127027,0,"127027,"
127028,0,"127028,"
127029,0,"127029,"
127030,0,"127030,"
127031,0,"127031,"
127032,0,"127032,"
127035,0,"127035,"
127040,0,"127040,"
127041,0,"127041,"
127042,0,"127042,"
127043,0,"127043,"
127045,0,"127045,"
127046,0,"127046,"
127111,0,"127111,"
127114,0,"127114,"
127201,0,"127201,"
127306,0,"127306,"
